Ology,Meaning,,
Acology,Study of medical remedies,,
Actinobiology,Study of radiation effects on organisms,,
Adenology,Study of glands,,
Aerobiology,Study of airborne organisms,,
Aerology,Study of the atmosphere,,
Agnoiology,Study of ignorance,,
Agrobiology,Study of plant nutrition and growth,,
Algology,Study of algae,,
Alology,Study of algae,,
Amphibiology,Study of amphibians,,
Andrology,Study of male health,,
Anemology,Study of wind,,
Anesthesiology,Study of anesthesia and anesthetics,,
Angiology,Study of blood vessels and lymphatics,,
Anthropology,Study of human beings,,
Anthrozoology,Study of human-animal interactions,,
Apiology,Study of bees,,
Arachnology,Study of spiders,,
Araneology,Study of spiders,,
Archaeology,Study of ancient cultures,,
Astacology,Study of crayfish,,
Astrobiology,Study of life in the universe,,
Astrometeorology,Study of the influence of stars on weather,,
Astronomy,Study of celestial bodies,,
Audiology,Study of hearing,,
Autecology,Study of individual species' ecology,,
Axiology,Study of values and value judgments,,
Bacteriology,Study of bacteria,,
Balneology,Study of therapeutic bathing and medicinal springs,,
Batrachology,Study of amphibians,,
Bibliology,Study of books,,
Bioacoustics,Study of sound in biological systems,,
Bioinformatics,Study of biological data,,
Biology,Study of life,,
Biomechanics,Study of the mechanics of living organisms,,
Biometeorology,Study of the effects of atmospheric conditions on living organisms,,
Biosemiotics,Study of biological sign processes,,
Biotechnology,Study of technology based on biology,,
Bromatology,Study of food,,
Bryology,Study of mosses,,
Bryozoology,Study of moss animals,,
Campanology,Study of bells,,
Carcinology,Study of crabs and other crustaceans,,
Cardiology,Study of the heart,,
Carpology,Study of fruits and seeds,,
Cetology,Study of whales,,
Chalcology,Study of copper,,
Chiropterology,Study of bats,,
Chronobiology,Study of biological rhythms,,
Chrysology,Study of precious metals,,
Cladistics,Study of evolutionary relationships,,
Climatology,Study of climate,,
Clinology,Study of beds and bedding, dolphins, and porpoises
Cognitive Science,Study of the mind and its processes,,
Coleopterology,Study of beetles,,
Conchology,Study of shells,,
Coniology,Study of dust in the atmosphere and its effects on living organisms,,
Coprology,Study of feces,,
Cosmology,Study of the universe,,
Criminology,Study of crime,,
Cryobiology,Study of the effects of low temperatures on living organisms,,
Cryology,Study of snow and ice,,
Cryptology,Study of codes and secret writing,,
Cryptozoology,Study of hidden animals (cryptids),,
Cynology,Study of dogs,,
Cytology,Study of cells,,
Cytomorphology,Study of cell structure,,
Dactylology,Study of sign language,,
Deipnology,Study of dining,,
Deltiology,Study of postcards,,
Demography,Study of populations,,
Dendrology,Study of trees,,
Deontology,Study of duty and ethics,,
Dermatology,Study of the skin,,
Doxology,Study of praise or worship,,
Dysmorphology,Study of congenital malformations,,
Ecclesiology,Study of churches,,
Ecology,Study of ecosystems,,
Ecophysiology,Study of the relationship between the physiology of organisms and their environment,,
Electrobiology,Study of electrical phenomena in biology,,
Electrocardiography,Study of the electrical activity of the heart,,
Embryology,Study of embryos,,
Embryophytology,Study of land plants,,
Endemiology,Study of endemics,,
Endocrinology,Study of hormones,,
Enology,Study of wine,,
Entomology,Study of insects,,
Enzymology,Study of enzymes,,
Epidemiology,Study of diseases in populations,,
Epigraphy,Study of inscriptions,,
Epizootiology,Study of animal diseases,,
Erotology,Study of sexual love and behavior,,
Eschatology,Study of end times,,
Esotericism,Study of hidden knowledge,,
Esthesiology,Study of sensation and perception,,
Ethnology,Study of cultures,,
Ethology,Study of animal behavior,,
Etymology,Study of word origins,,
Eudiology,Study of air quality,,
Eugenics,Study of improving genetic quality,,
Evolutionary Biology,Study of evolutionary processes,,
Exobiology,Study of extraterrestrial life,,
Exodontology,Study of teeth extraction,,
Felinology,Study of cats,,
Florology,Study of flowers,,
Forensic Anthropology,Study of human remains for legal purposes,,
Futurology,Study of the future,,
Garbology,Study of garbage,,
Gastroenterology,Study of the digestive system,,
Gelotology,Study of laughter,,
Genethlialogy,Study of nativities and horoscopes,,
Geochronology,Study of the age of the Earth,,
Geology,Study of the Earth,,
Geomorphology,Study of landforms,,
Geriatrics,Study of aging,,
Gerontology,Study of aging and elderly people,,
Glossology,Study of language and tongues,,
Glyptology,Study of engravings,,
Gnotobiology,Study of life in germ-free conditions,,
Graminology,Study of grasses,,
Helcology,Study of ulcers,,
Helioseismology,Study of the structure and dynamics of the Sun through its oscillations,,
Hematology,Study of blood,,
Hepatology,Study of the liver,,
Hepetology,Study of amphibians and reptiles,,
Herpetology,Study of reptiles and amphibians,,
Hierology,Study of sacred texts,,
Hippiatry,Study of horse diseases,,
Hippology,Study of horses,,
Histology,Study of tissues,,
Hominology,Study of humans,,
Hydrology,Study of water,,
Hymnology,Study of hymns,,
Hypsometry,Study of measuring heights,,
Ichnology,Study of trace fossils,,
Ichthyology,Study of fish,,
Iconology,Study of icons and symbols,,
Ideology,Study of ideas and their origins,,
Immunohematology,Study of blood group antigens and antibodies,,
Immunology,Study of the immune system,,
Insectology,Study of insects,,
Kalology,Study of beauty,,
Karyology,Study of cell nuclei,,
Kinesiology,Study of human movement,,
Lactology,Study of milk and lactation,,
Lepidopterology,Study of butterflies and moths,,
Lexicology,Study of words and their meanings,,
Limnobiology,Study of freshwater ecosystems,,
Limnology,Study of freshwater bodies,,
Lithology,Study of rocks,,
Lymphology,Study of the lymphatic system,,
Malacology,Study of mollusks,,
Malacostracology,Study of crustaceans,,
Malariology,Study of malaria,,
Mammalogy,Study of mammals,,
Mastology,Study of breasts,,
Melittology,Study of bees,,
Mesology,Study of environments,,
Metallurgy,Study of metals,,
Meteorology,Study of weather,,
Metrology,Study of measurements,,
Microbiology,Study of microorganisms,,
Microclimatology,Study of microclimates,,
Micrology,Study of small objects,,
Mixology,Study of cocktails and mixed drinks,,
Molecular Biology,Study of biological molecules,,
Molinology,Study of mills and milling,,
Morphology,Study of form and structure,,
Musicology,Study of music,,
Mycology,Study of fungi,,
Myrmecology,Study of ants,,
Nanotechnology,Study of manipulating matter on an atomic scale,,
Necrobiology,Study of dead organisms,,
Neontology,Study of living organisms,,
Nephology,Study of clouds,,
Nephrology,Study of kidneys,,
Neuroethology,Study of the neural basis of natural animal behavior,,
Neurology,Study of the nervous system,,
Nosology,Study of diseases,,
Nymphology,Study of nymphs (mythology),,
Oceanology,Study of the ocean,,
Odonatology,Study of dragonflies,,
Odontology,Study of teeth,,
Oncology,Study of cancer,,
Onomastics,Study of names and naming,,
Onomatology,Study of names,,
Oology,Study of eggs,,
Ophthalmology,Study of eyes,,
Ornithology,Study of birds,,
Orology,Study of mountains,,
Orthopterology,Study of grasshoppers and crickets,,
Osteology,Study of bones,,
Otolaryngology,"Study of ear, nose, and throat",,
Otology,Study of the ear,,
Otorhinolaryngology,"Study of ear, nose, and throat",,
Paleobiology,Study of ancient life,,
Paleoclimatology,Study of ancient climates,,
Paleontology,Study of fossils,,
Palynology,Study of pollen and spores,,
Papyrology,Study of ancient manuscripts,,
Parasitology,Study of parasites,,
Pathology,Study of disease,,
Pedagogy,Study of education,,
Pedology,Study of soils,,
Penology,Study of prison management,,
Pharmacology,Study of drugs,,
Phenology,Study of biological phenomena,,
Phlebology,Study of veins,,
Phonetics,Study of speech sounds,,
Phonology,Study of sounds,,
Photobiology,Study of light effects on organisms,,
Phrenology,Study of the structure of the skull,,
Phycology,Study of algae,,
Phyllotaxis,Study of leaf arrangement on stems,,
Physiology,Study of functions of living organisms,,
Planktology,Study of plankton,,
Podiatry,Study of feet,,
Pomology,Study of fruits,,
Posology,Study of drug dosages,,
Potamology,Study of rivers,,
Primatology,Study of primates,,
Protozoology,Study of protozoa,,
Psephology,Study of elections and voting,,
Psychobiology,Study of the biological basis of behavior,,
Psychology,Study of the mind,,
Psychometrics,Study of measuring mental functions,,
Psychopathology,Study of mental illness,,
Pteridology,Study of ferns,,
Pyretology,Study of fevers,,
Radiology,Study of imaging,,
Rheology,Study of flow of matter,,
Rhinology,Study of the nose,,
Seismology,Study of earthquakes,,
Selenology,Study of the Moon,,
Serology,Study of blood serum,,
Siderology,Study of iron and its compounds,,
Sociobiology,Study of social behavior in animals,,
Sociolinguistics,Study of language in social context,,
Sociology,Study of society,,
Somatology,Study of the human body,,
Speleology,Study of caves,,
Stomatology,Study of the mouth,,
Symptomatology,Study of symptoms of diseases,,
Synecology,Study of ecological communities,,
Tectonics,Study of the structure of the Earth's crust,,
Teleology,Study of purpose or design in nature,,
Teratology,Study of birth defects,,
Thalassology,Study of the sea,,
Thanatology,Study of death,,
Theology,Study of religion,,
Theriology,Study of mammals,,
Toxicology,Study of toxins,,
Toxophily,Study of archery,,
Tribology,Study of friction and wear,,
Trichology,Study of hair and scalp,,
Trophology,Study of nutrition,,
Typology,Study of classification systems,,
Ufology,Study of unidentified flying objects,,
Urbanology,Study of urban areas,,
Urology,Study of the urinary system,,
Vaccinology,Study of vaccines,,
Venereology,Study of sexually transmitted diseases,,
Vexillology,Study of flags,,
Victimology,Study of victims of crime,,
Virology,Study of viruses,,
Volcanology,Study of volcanoes,,
Xenology,Study of the influence of foreigners,,
Zoogeography,Study of the geographical distribution of animals,,
Zoonosology,Study of animal diseases,,
Zoopathology,Study of animal diseases,,
Zootomy,Study of animal anatomy,,
Zymology,Study of fermentation,,
Zymurgy,Study of fermentation in brewing,,
